calibration_bin,customer_count,observed_defaults,observed_default_rate,expected_defaults,mean_predicted_probability,min_predicted_probability,max_predicted_probability,model_id,model_label,calibration_gap,abs_calibration_gap,weighted_abs_gap,observed_non_defaults,expected_non_defaults,hl_component_default,hl_component_non_default,hl_component_total
5,7688,486,0.06321540062434963,3234.883967640303,0.42077054729972724,0.39991856100539913,0.4419827661580193,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.3575551466753776,0.3575551466753776,0.03575644485600955,7202,4453.116032359697,2335.8992604175455,1696.8709130051786,4032.770173422724
6,7688,480,0.062434963579604576,3569.8810935229576,0.46434457512005173,0.4419827661580193,0.4872427262376294,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.40190961154044713,0.40190961154044713,0.04019200673174325,7208,4118.118906477042,2674.4210582896703,2318.3801606826023,4992.801218972272
7,7687,647,0.08416807597242097,3932.539187593169,0.5115830867169466,0.4872439263600279,0.5365116800312457,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.42741501074452565,0.42741501074452565,0.04273705335197545,7040,3754.460812406831,2744.9866964490075,2875.1845584685766,5620.1712549175845
8,7688,792,0.10301768990634755,4335.593395386807,0.563942949451978,0.5365150724117944,0.5929921399242936,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.46092525954563046,0.46092525954563046,0.04609372506291536,6896,3352.406604613193,2896.2711690600786,3745.683514209074,6641.954683269152
9,7688,1045,0.1359261186264308,4828.038521053304,0.6279966858810229,0.5929944969196383,0.6679143500546137,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.4920705672545921,0.4920705672545921,0.04920833685909238,6643,2859.961478946696,2964.222507621579,5004.0465779416545,7968.269085563234
10,7688,1579,0.2053850156087409,5673.185805304962,0.737927394030302,0.6679145955774496,0.9806137173888445,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.5325423784215612,0.5325423784215612,0.05325562326419733,6109,2014.8141946950382,2954.6639196416418,8319.554950767788,11274.21887040943
1,7688,634,0.08246618106139438,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,-0.0017361901234106553,0.0017361901234106553,0.0001736235290821967,7054,7067.347829668781,0.2870602333855179,0.025209535622235036,0.31226976900775294
2,7688,613,0.07973465140478668,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,0.00099533953319704,0.00099533953319704,9.953654271987881e-05,7075,7067.347829668781,0.0943454539869607,0.008285386850802115,0.10263084083776282
3,7688,637,0.08285639958376691,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,-0.002126408645783187,0.002126408645783187,0.00021264639648249358,7051,7067.347829668781,0.430597922079978,0.03781496840406085,0.46841289048403884
4,7687,596,0.07753349811369845,620.5714403402809,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,0.003196492824285274,0.003196492824285274,0.0003196160194110266,7091,7066.428559659719,0.9729027814492245,0.08544000343293164,1.058342784882156
5,7688,642,0.08350676378772112,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,-0.0027767728497374022,0.0027767728497374022,0.0002776845088163213,7046,7067.347829668781,0.7342757398614324,0.06448385484213148,0.7987595947035638
6,7688,604,0.0785639958376691,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,0.0021659951003146216,0.0021659951003146216,0.00021660514492076813,7084,7067.347829668781,0.4467796778854345,0.03923604489591003,0.48601572278134453
7,7687,628,0.08169637049564199,620.5714403402809,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,-0.0009663795576582701,0.0009663795576582701,9.662789952547052e-05,7059,7066.428559659719,0.08892368393179355,0.007809248781347214,0.09673293271314076
8,7688,620,0.08064516129032258,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,8.482964766114154e-05,8.482964766114154e-05,8.483185452520307e-06,7068,7067.347829668781,0.0006852890576285393,6.018186046212925e-05,0.0007454709180906685
9,7688,627,0.08155567117585848,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,-0.0008256802378747569,0.0008256802378747569,8.25701718148382e-05,7061,7067.347829668781,0.0649235488571476,0.005701564784273104,0.07062511364142071
10,7688,605,0.07869406867845993,620.6521703312188,0.08072999093798372,0.08072999093798372,0.08072999093798372,algorithm::null_baseline,Null baseline,0.002035922259523787,0.002035922259523787,0.00020359752245400342,7083,7067.347829668781,0.39473065234968874,0.03466511653055919,0.42939576888024794
1,7688,185,0.024063475546305932,50.28665431406568,0.006540927980497617,1e-06,0.018714830689960132,algorithm::linear_probability_model_ols,Linear Probability Model â€” LPM,-0.017522547565808316,0.017522547565808316,0.0017523003419175102,7503,7637.713345685935,360.88472683419434,2.3760626622817997,363.26078949647615
2,7688,269,0.034989594172736734,215.26531358294187,0.028000170861464863,0.018714845645034936,0.03641925750631848,algorithm::linear_probability_model_ols,Linear Probability Model â€” LPM,-0.006989423311271871,0.006989423311271871,0.0006989605142831257,7419,7472.734686417058,13.413292073242607,0.3863935554392821,13.799685628681889
3,7688,324,0.04214360041623309,336.4724762558544,0.04376593083452841,0.03642182206367085,0.05083027112722174,algorithm::linear_probability_model_ols,Linear Probability Model â€” LPM,0.0016223304182953202,0.0016223304182953202,0.00016223726236185154,7364,7351.527523744146,0.4623339943981026,0.021160590564395076,0.48349458496249764
4,7687,392,0.050995186678808375,438.295340585185,0.05701773651426889,0.05083027112722174,0.06316171660031386,algorithm::linear_probability_model_ols,Linear Probability Model â€” LPM,0.006022549835460515,0.006022549835460515,0.000602192312302414,7295,7248.704659414815,4.889987096444693,0.295674697839186,5.185661794283879
5,7688,455,0.05918314255983351,532.9004369915682,0.06931587369817484,0.06316171660031386,0.07558953025152773,algorithm::linear_probability_model_ols,Linear Probability Model â€” LPM,0.01013273113834133,0.01013273113834133,0.001013299474382374,7233,7155.099563008432,11.38763953305206,0.8481332831272169,12.235772816179276
