calibration_bin,customer_count,observed_defaults,observed_default_rate,expected_defaults,mean_predicted_probability,min_predicted_probability,max_predicted_probability,model_id,model_label,calibration_gap,abs_calibration_gap,weighted_abs_gap
7,7687,637,0.08286717835306362,647.8413342087731,0.08427752493934866,0.07709232316850793,0.09206716229545936,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,0.0014103465862850412,0.0014103465862850412,0.00014101998242375076
8,7688,777,0.10106659729448492,783.7861875977159,0.1019492959934594,0.09206872106858063,0.1131054949878339,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,0.0008826986989744767,0.0008826986989744767,8.827216625973331e-05
9,7688,1045,0.1359261186264308,991.9633873909189,0.1290274957584442,0.11310766682108989,0.1490159192516908,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,-0.00689862286798662,0.00689862286798662,0.0006898802337350236
10,7688,1595,0.2074661810613944,1572.474405018386,0.2045362129316319,0.149024648462992,0.7175272818126891,spec::05_full_controlled_main_effects,05_full_controlled_main_effects,-0.0029299681297624836,0.0029299681297624836,0.0002930044353601027
1,7688,188,0.02445369406867846,180.06432770029195,0.023421478629070232,0.006662864341976683,0.02984720515400981,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,-0.0010322154396082278,0.0010322154396082278,0.00010322422929457134
2,7688,269,0.034989594172736734,264.1209561205165,0.034354963074989135,0.029849031877974656,0.03865238767425583,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,-0.0006346310977475983,0.0006346310977475983,6.346476078310486e-05
3,7688,331,0.04305411030176899,329.57975556415164,0.04286937507338081,0.03865269965340738,0.047164789985836904,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,-0.00018473522838818174,0.00018473522838818174,1.8474003432039612e-05
4,7687,379,0.04930401977364381,394.9338793640147,0.05137685434682122,0.047165746569676495,0.05570039581618344,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,0.002072834573177404,0.002072834573177404,0.00020726188719808923
5,7688,474,0.06165452653485952,463.77712226365503,0.06032480778663567,0.05570075121126142,0.06527387656871284,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,-0.0013297187482238515,0.0013297187482238515,0.0001329753341182779
6,7688,514,0.06685744016649324,545.9660811752643,0.07101535915391055,0.06527481561392294,0.07726111263134998,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,0.004157918987417311,0.004157918987417311,0.0004158027156698183
7,7687,629,0.08182646025757773,648.53844742478,0.08436821223166124,0.07726201384782991,0.09214708456400354,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,0.002541751974083517,0.002541751974083517,0.0002541487476882853
8,7688,776,0.10093652445369407,784.0773349375626,0.10198716635504196,0.09214708456400354,0.11326207300656531,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,0.0010506419013478902,0.0010506419013478902,0.0001050669234054291
9,7688,1054,0.13709677419354838,991.3949481803179,0.12895355725550442,0.11326207300656531,0.14902957058669153,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,-0.008143216938043957,0.008143216938043957,0.0008143428785827147
10,7688,1592,0.20707596253902186,1572.2597323857083,0.20450828985245945,0.14902976383077887,0.740387271673643,spec::06_full_plus_selected_interactions,06_full_plus_selected_interactions,-0.002567672686562411,0.002567672686562411,0.00025677394851962614
1,7688,184,0.023933402705515087,1640.9921440275723,0.2134485098891223,0.06760935552800452,0.2585890188400333,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.18951510718360723,0.18951510718360723,0.01895200374655392
2,7688,267,0.03472944849115505,2201.557881556263,0.2863628878194931,0.25861029251756495,0.31199149467548165,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.25163343932833804,0.25163343932833804,0.025163998563389564
3,7688,327,0.04253381893860562,2580.5252347797814,0.33565624802026295,0.31200956095638627,0.35814831501801636,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.2931224290816573,0.2931224290816573,0.029313005473344537
4,7687,399,0.051905815012358525,2915.833922238749,0.3793201407881812,0.358156903341806,0.39990319511003436,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.3274143257758227,0.3274143257758227,0.03273802547203035
5,7688,486,0.06321540062434963,3234.883967640303,0.42077054729972724,0.39991856100539913,0.4419827661580193,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.3575551466753776,0.3575551466753776,0.03575644485600955
6,7688,480,0.062434963579604576,3569.8810935229576,0.46434457512005173,0.4419827661580193,0.4872427262376294,spec::07_full_balanced_sensitivity,07_full_balanced_sensitivity,0.40190961154044713,0.40190961154044713,0.04019200673174325
